OfferID,PropertyID,Date,BuyerTaxID(Person: TaxID),OfferAmount,OfferStatus
1,1,1993-03-23,463184849,265000,d
2,2,1998-07-21,610828970,999000,a
3,3,2001-06-21,671109797,1629000,a
4,4,2008-04-27,104602674,531000,p
5,5,1996-07-21,108265569,1683000,d
6,6,1996-12-13,472683467,605000,a
7,7,2005-12-28,468013542,1320000,p
8,8,1988-04-09,93345948,882000,a
9,9,2005-11-25,271149269,1584000,a
10,10,1985-09-23,466639228,592000,d
11,11,2012-03-12,767169048,1694000,p
12,12,2017-09-11,245693684,1599000,a
13,13,2012-01-31,275689005,1360000,a
14,14,2006-11-17,302043521,1742000,d
15,15,1981-02-24,603051353,1325000,p
16,16,1995-08-10,308745128,1793000,p
17,17,2006-10-25,652327732,1574000,d
18,18,1993-08-01,756015630,1911000,p
19,19,1993-11-19,629169382,1328000,p
20,20,1981-12-15,183741727,1103000,a
21,21,1983-03-13,228337367,1538000,a
22,22,2017-02-14,561861459,755000,a
23,23,2001-09-30,426782680,1631000,d
24,24,1999-04-12,400209318,788000,a
25,25,1987-11-14,303088820,1421000,d
26,26,2000-11-26,682032275,1964000,p
27,27,2006-01-09,226711497,1871000,a
28,28,2013-02-02,609741362,649000,a
29,29,2014-04-24,641567820,1949000,p
30,30,2017-11-29,639564059,1847000,a
31,31,2013-08-25,15608312,1832000,d
32,32,1987-06-22,519704064,542000,p
33,33,2012-01-15,87662458,531000,a
34,34,1993-07-12,594911587,1236000,p
35,35,1996-03-27,482272875,779000,a
36,36,2011-05-20,280180893,891000,a
37,37,2004-12-23,616152343,1719000,a
38,38,2017-06-08,494368677,1054000,p
39,39,1992-09-08,655032690,225000,d
40,40,1988-03-26,561264961,1276000,p
41,41,1988-07-08,686096932,1535000,d
42,42,2014-02-22,497034907,1996000,d
43,43,2014-09-03,603341624,773000,p
44,44,2015-04-12,622863239,1366000,d
45,45,1993-01-28,499346397,1692000,p
46,46,1982-07-22,281128302,311000,a
47,47,1981-10-02,213156326,1984000,a
48,48,1986-08-23,29609898,447000,p
49,49,1988-01-09,191038115,495000,d
50,50,1998-01-23,287968208,1097000,p
51,51,1989-10-18,48545094,433000,d
52,52,1978-09-29,463840561,1567000,d
53,53,1980-12-28,255523404,519000,p
54,54,1993-07-14,503349640,887000,p
55,55,1994-01-27,615242865,1121000,d
56,56,1999-08-28,93244169,1248000,d
57,57,2009-04-20,206527641,688000,p
58,58,1988-04-27,542900421,1876000,a
59,59,1984-10-30,184500260,1772000,d
60,60,1996-03-18,329346977,1853000,d
61,61,2012-12-17,252249747,253000,p
62,62,2009-02-08,230993410,343000,p
63,63,2009-12-03,604506762,231000,a
64,64,1983-05-25,555557948,1321000,a
65,65,1991-06-04,23889748,1184000,d
66,66,2014-06-02,768100547,1093000,a
67,67,1996-06-29,383085760,1539000,a
68,68,1985-06-10,458630531,1537000,a
69,69,1993-02-16,692012572,466000,d
70,70,2012-01-08,614521048,469000,p
71,71,1992-09-07,101664951,1444000,d
72,72,1985-03-07,496046404,1224000,p
73,73,1982-03-06,530088398,942000,p
74,74,2015-07-23,643561874,660000,a
75,75,2009-07-08,141115661,811000,a
76,76,1990-02-27,489198044,1127000,p
77,77,1990-03-18,619240482,1180000,d
78,78,2001-08-14,350803645,1977000,d
79,79,1995-09-28,536040209,1013000,d
80,80,1989-01-02,506152189,1415000,a
81,81,1997-03-03,288687043,934000,a
82,82,2016-09-09,454316810,1027000,a
83,83,2008-03-28,337365021,1159000,a
84,84,1999-03-12,674096786,1756000,a
85,85,2005-12-24,213099778,685000,a
86,86,1994-03-22,650018774,616000,p
87,87,2001-12-15,476215255,1009000,d
88,88,1990-04-03,302362946,1966000,d
89,89,2009-08-06,484801270,1780000,a
90,90,2008-04-16,219324979,400000,a
91,91,2009-04-25,2040996,1189000,a
92,92,2016-11-09,147386380,1313000,p
93,93,1985-12-31,165385726,1838000,d
94,94,1980-05-16,510820628,1714000,a
95,95,2016-03-22,8621630,650000,d
96,96,2010-07-21,540457544,1047000,d
97,97,1984-01-03,330220145,1242000,p
98,98,1989-04-27,548488519,1059000,d
99,99,2000-07-14,680167392,818000,a
100,100,1981-01-14,32762354,1298000,p
101,101,1990-11-14,457478032,1300000,p
102,102,1990-04-28,394504963,858000,d
103,103,1981-03-29,53328808,915000,a
104,104,1989-12-15,628721927,1453000,d
105,105,2007-06-01,552089492,1492000,d
106,106,1987-10-23,351964207,1002000,a
107,107,1999-03-02,9522317,993000,p
108,108,2005-11-24,667146013,1956000,a
