GivenName,Surname,NationalID,MemberType (1-4),TelephoneNumber,AddressID
Randall,Ager,463184849,1,9365381913,2229
Agnes,Sutton,610828970,1,9518175973,912
Mary,Carnevale,671109797,1,2297239576,390
William,Young,104602674,1,6312173347,4530
Richard,Bundy,108265569,4,2128074019,4511
Calvin,Emery,472683467,2,6512741739,2128
Rudolph,Garnett,468013542,4,3205946124,2184
Lila,Ryan,93345948,3,7169837265,4573
James,Melton,271149269,4,4408422769,3590
John,Hill,466639228,1,9159206970,2194
Henry,Key,767169048,2,2398399994,66
Eugene,Horn,245693684,1,7046554598,3800
James,Owen,275689005,1,4198296329,3557
Raymond,Howard,302043521,3,6147928530,3419
Antoinette,Whitehead,603051353,1,8057847778,979
Joe,Bartley,308745128,1,8122095999,3377
Craig,Rhynes,652327732,1,3038369851,514
Mary,Leon,756015630,3,7317877431,155
Amy,Pharr,629169382,1,4693350035,746
Stefanie,Brodeur,183741727,1,2159902594,4152
George,Spinks,228337367,4,8043191903,3900
Kevin,Jones,561861459,2,4153603108,1291
Melissa,Gardin,426782680,4,6012303746,2527
Yvonne,Christiansen,400209318,3,5022501552,2759
Lavern,McIntyre,303088820,1,3173615712,3413
Jason,Harms,682032275,4,8282355521,296
Dannie,Bombard,226711497,4,8044273968,3911
Francisco,Farina,609741362,4,8059456152,918
Luis,Mendoza,641567820,4,3259444257,623
Cynthia,Taylor,639564059,4,9722985200,637
Craig,McNemar,15608312,3,9788865277,4895
Alfonzo,Plummer,519704064,3,2087645224,1740
Kevin,Pier,87662458,1,3156184003,4596
Douglas,Reichard,594911587,2,7726331369,1036
Antonio,Downing,482272875,2,7129284318,2035
Emily,Johnson,280180893,1,6146174870,3536
Carol,Bertrand,616152343,4,9094219983,869
Joan,Hudson,494368677,2,6363937357,1943
Shirley,Earnshaw,655032690,3,8037040023,492
Marc,Huber,561264961,4,5102592873,1299
Robert,Granger,686096932,2,9104458056,259
Ricky,Chase,497034907,3,4173651236,1923
Charlotte,Gamez,603341624,2,9513515886,974
Michelle,Lollar,622863239,2,4087027302,799
Johnny,Cole,499346397,2,4176491834,1908
Joan,Driver,281128302,1,3302717360,3531
Jarvis,Andrews,213156326,1,4432641554,4034
Steve,Hopkins,29609898,2,9789233911,4823
Esther,Stevenson,191038115,3,6102833126,4129
Paul,Long,287968208,3,4196511072,3502
Carl,Delgado,48545094,2,8606251826,4728
Larry,Williams,463840561,3,8303860951,2222
Susan,Clark,255523404,4,6788282273,3743
William,Sparks,503349640,2,6054226356,1874
Cindy,Soto,615242865,3,3239795857,873
Albert,Hughes,93244169,3,2126025220,4574
Deanna,Tan,206527641,3,7248782997,4079
Danielle,Haley,542900421,3,5413319991,1473
Myrtle,Harvey,184500260,2,4128480843,4150
Irene,Gonzalez,329346977,4,6306017261,3236
Steven,Woodson,252249747,2,7705485203,3762
Madeline,Horner,230993410,3,7576684766,3881
Zelma,Kingery,604506762,4,4155962297,962
Christopher,Howell,555557948,4,8185285667,1364
Celia,Cantu,23889748,3,7814613662,4849
Anna,Little,768100547,3,7865073918,55
Jonathon,Moser,383085760,1,5865669510,2897
James,Holt,458630531,1,9729465140,2271
Laura,Smith,692012572,2,4349273710,223
Kenneth,Jenkins,614521048,4,6262853801,878
Mary,Lewis,101664951,4,5855764602,4541
Glen,Bridges,496046404,3,5735455252,1934
Linda,Moore,530088398,4,7026474800,1637
Andrew,Wilkerson,643561874,3,9794647510,597
Barbara,Smith,141115661,1,2012000377,4367
Linda,Riddle,489198044,3,5733682898,1989
Rochelle,Wilson,619240482,1,9096648935,838
Paula,Hughes,350803645,2,7087909068,3123
Carol,Robertson,536040209,2,2062840900,1557
William,Mire,506152189,1,3087859285,1852
Larry,Teachout,288687043,4,6145986612,3491
Marion,Baron,454316810,3,8065338013,2319
James,Etter,337365021,1,8474901799,3190
Glen,Thomas,674096786,1,4789872471,373
Tim,Kearns,213099778,3,2404302948,4036
John,Bright,650018774,2,3035428050,541
Kevin,Edwards,476215255,3,5077336400,2083
