PropertyID,AgentTaxID(Person : TaxID),SellerTaxID(Person - TaxID),ListPrice,Description,Area,SellDate,AddressID
1,463184849,265792122,571000,Angelia Andes Gaul Alphard Cline Erickson Harbin Lucio's Irkutsk Hafiz's Jesuit's Aniakchak Hatsheput's,83780,12/15/1988,2229
2,610828970,133185612,1952000,Citigroup Huber Hamilcar's Ernst Doonesbury Jonathon Faustino's Ginsberg Hans Cathryn's Hollerith Ito MB's,1430,4/4/2011,912
3,671109797,385443643,949000,ErvIn Ampere's Chekhov Hephaestus's Inonu Lutherans Englishwomen Lutherans Florine Charlene's Amur's Jeanie's Henry's,161440,9/10/1984,390
4,104602674,251111543,871000,Lynn Fido's Jarvis Angel's Armstrong Algenib Accenture Antofagasta Havoline's Hardin Ethan Hippocrates's Giauque,28600,2/15/2014,4530
5,108265569,765641051,1532000,Lodz's Gewürztraminer Jinny Dumbledore's Fidel Dvorák FNMA's Joel Cheer's Luvs's Chevrolet's Jefferey Dramamine's,24840,11/25/2003,4511
6,472683467,238418119,1340000,Hepplewhite Claudius's Jilin Ashurbanipal Jamar's Claudius's Franklin Eakins Hammett Hrothgar's Lockwood's Gainsborough's Hindu's,146920,9/16/2000,2128
7,468013542,469869828,232000,Colon's Drew Halon Lyra's Ferrari Gilmore Aprils Cesar's Android Gila Addie's FBI's Felicity,71430,2/18/1995,2184
8,93345948,348442211,1221000,Alfonso Agricola Lisa's Lhasa's Escherichia Edward FedEx Freddie Enterprise Hensley Ampere's Loafer's Garfunkel's,29980,5/28/1995,4573
9,271149269,587366001,931000,Gipsies Ingrid Genghis Cecil Draconian Algieba's Lupe Lincoln Duse Fisher Hanoverian Colfax Düsseldorf's,168360,3/11/2017,3590
10,466639228,459979876,499000,FHA's Fukuoka's Hunspell Chrysler Advil Angelia's London Havoline's Chantilly Lorelei Liberace Alhambra Cocteau,207420,7/10/1991,2194
11,767169048,464721411,1448000,Lott's Adolf Armand Angus Fabergé Harvard Jeffersonian Inez's Hershel Dristan's Chauncey Idahos Ericka,138010,2/26/2009,66
12,245693684,107449453,1312000,Apollo's Clifford Jess Eugenie Ispell's Alps Angie Chrysler's Harrison's Hayden Chardonnay's Hall Jeanne,63150,3/19/1987,3800
13,275689005,502784486,1619000,Edwina's Angelina's Lombardi Alembert's Hibernia Emmy Fredericton Idahoan Handel Fourneyron Cisco's Frankenstein Linton's,138610,10/7/2014,3557
14,302043521,647762678,1007000,Americana's He Libreville's Horowitz Hertz Faustian Lupus Ismail's Harry's Ericsson Jolene's Eula Ira,180950,7/30/2017,3419
15,603051353,541364678,695000,Ethiopian Jekyll Amadeus Lilian Jacobean Alton Lombardi's Donatello Fonda Elliott Ashkhabad Eton Cheerios,133910,8/18/1979,979
16,308745128,275142996,984000,Frankel Abbasid Cecily's Ginger Anabaptist Edith's Listerine Faulknerian Alissa's Algerian's Haney Dublin's Lissajous,150000,4/12/1986,3377
17,652327732,600876880,428000,ErvIn Jacquelyn's Clayton Alexander's Edward's Doyle Jaclyn's Gaziantep African's Fundy Limburger Euphrates Horowitz,153980,8/13/2013,514
18,756015630,100124354,1738000,Achebe's Alexander's Anglicanisms Hanson's Gaul Abner Anguilla's Loews Andromeda Apollo's Am EverReady Lucite's,187620,2/17/1980,155
19,629169382,551754841,968000,Adirondacks's Huntington's Lynda's Dunne Ginsu's Cherry Absalom Fremont Hugh's Alphard Christensen's Alana's Emory,164970,9/10/2003,746
20,183741727,216111463,635000,Jonathon Flora Agrippina's Hecuba Liverpool Alberio's Heliopolis Ecuadoran Adelaide's Hallmark's GTE Enrique Janna,76230,1/7/1980,4152
21,228337367,590859240,1042000,Aquino Amadeus Abram's Jetway Ellesmere Eisenstein Genaro Firefox Eratosthenes Fagin Jedi's Huguenot Donovan's,61490,4/19/1995,3900
22,561861459,618947670,1795000,Ghanaian Acuff Ebony's Errol Israeli Ampere Ferlinghetti African's Fenian Eloise Forbes Joey's Cognac,29450,9/1/1985,1291
23,426782680,540713116,213000,Christmas's Ara's Faeroe Highlander's Formosa's Aeroflot Dvina Hertzsprung's Claire Elsinore Louvre Claudette Jekyll's,23370,9/26/2000,2527
24,400209318,689095371,1221000,Charleston Horace Eddington's Afghans Enif's Holcomb's Cavendish Elsinore Churriguera Argonaut's Idaho Head Cochran,44450,12/29/1993,2759
25,303088820,403446594,489000,Elva Apollos Evert Friedman Hasidim Fagin's Alps Jackson's Effie MGM Akkad Chattanooga's Heimlich,22190,6/23/2002,3413
26,682032275,187091160,1646000,Chaitanya Esperanto Linus Isabelle's Lysistrata Clausius Louis Faisal Lords Jane Jill Lombard Eddie,171410,4/10/1994,296
27,226711497,395306833,262000,Edwardo's Amish Lords Lothario's HTML's Ibadan Chileans Internet Chandrasekhar Chester Gautier Iroquois Harriet's,8270,7/30/1982,3911
28,609741362,531700668,1052000,Hohhot Dramamine's Lockheed Chandra Lycra Arline's Armagnac's Lollobrigida Gingrich Arieses Japura's Gatun's Epstein,182070,9/14/2010,918
29,641567820,564638489,1798000,Jekyll's Al Chiquita Florentine Imogene's Europe Holstein's Jared Cecily's Fay Edwin Jeremy's Aruba's,10220,9/4/2008,623
30,639564059,573975693,779000,Lupus Finley Livonia Cathryn's Irishman Lucile's Arab's Jared Inchon's Lucien's Libyan's Egyptology Chretien's,213120,12/20/1979,637
31,15608312,644463183,1331000,Elmer Huggins Lucia's Hf Gipsies Jamaican Helen Louella Albuquerque Andres Aludra Amritsar Chatterley's,143210,1/23/2003,4895
32,519704064,130244338,903000,Antioch Amaru's Clara's Instamatic Jagger's Ionics Colin Fallopian's Havel Citigroup's Cepheus Doubleday's Lyra's,82480,4/26/2001,1740
33,87662458,266210019,322000,Altiplano's Alissa Afrikaners Chambers Achebe's Hampton Gawain's Elvia's Fuji Libreville AIDS's Centaurus Hegel,120550,8/4/2007,4596
34,594911587,5863402,889000,Appaloosa's Jennings's Fred's Cebu Harmon Citigroup Gagarin Gershwin Flowers Horne Ester's Cheddar German,97340,2/6/1978,1036
35,482272875,385400061,913000,Gatsby's Elwood's A Limbaugh Amy's Genesis's Jeanine's Friday's Fergus Eleanor Fukuoka's Indianan's Librium's,99740,8/12/1989,2035
36,280180893,525066968,1779000,Jersey Cheshire Chester Chisholm Algenib Acevedo's Lipton Altoids's Helios's Hamilton Intel Lon Franck,212920,7/12/1981,3536
